image,output,flag,username,timestamp
/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/image/145cd044a2e300ca72bdb0fda676e683e1249d6e/tmpxacb6kq5.png,/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/output/tmpuf22u1zy.json,,,2025-02-28 10:57:39.800723
/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/image/2b1f613d300fc8bdffe8ad6561a828cfbe39d1c7/tmp_w1ecjrg.png,/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/output/tmpisddcbu4.json,,,2025-02-28 11:19:02.764637
/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/image/d89ed3a36b09eac2a9c08309ada906e5834d121a/tmpnd2m7nly.png,/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/output/tmp7mfk6za0.json,,,2025-02-28 11:21:00.190069
/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/image/4e09a7badc10f6a6e705f7d760458931d760b287/tmp56p_ef3u.png,/home/wang/Bureau/N7/AI/AIF/developpement/MNIST/flagged/output/tmpd_952kq7.json,,,2025-02-28 11:31:09.087122
